survivor_bucket,stars,start,end,low_signal,very_new,median_age_days,median_followers,median_public_repos,profiles_with_detail,duration_hours,low_signal_pct,very_new_pct,profile_detail_pct
first_100_survivors,100,2026-05-17 20:52:44+00:00,2026-05-18 08:08:24+00:00,16,13,86.78509259259259,1.0,3.0,25,11.261111111111111,16.0,13.0,25.0
middle_58_survivors,58,2026-05-18 08:23:17+00:00,2026-05-19 09:37:23+00:00,2,0,3407.060127314815,17.0,36.0,45,25.235,3.4482758620689653,0.0,77.58620689655173
last_97_survivors,97,2026-05-19 09:40:19+00:00,2026-05-21 08:06:22+00:00,17,15,157.06045138888888,1.0,4.0,38,46.43416666666667,17.52577319587629,15.463917525773196,39.175257731958766
