starred_at,user,user_url,star_number,minute,previous_starred_at,seconds_since_previous
2026-05-18 02:04:43+00:00,deymanai994-ctrl,https://github.com/deymanai994-ctrl,41,2026-05-18 02:04:00+00:00,2026-05-18 01:54:59+00:00,584.0
2026-05-18 02:12:20+00:00,hosamnabil2016,https://github.com/hosamnabil2016,42,2026-05-18 02:12:00+00:00,2026-05-18 02:04:43+00:00,457.0
2026-05-18 02:14:37+00:00,MaureenKroos,https://github.com/MaureenKroos,43,2026-05-18 02:14:00+00:00,2026-05-18 02:12:20+00:00,137.0
2026-05-18 02:17:03+00:00,moudud001,https://github.com/moudud001,44,2026-05-18 02:17:00+00:00,2026-05-18 02:14:37+00:00,146.0
2026-05-18 02:29:04+00:00,sorkarmilon24-wq,https://github.com/sorkarmilon24-wq,45,2026-05-18 02:29:00+00:00,2026-05-18 02:17:03+00:00,721.0
2026-05-18 02:30:52+00:00,xunayedrafi58-ai,https://github.com/xunayedrafi58-ai,46,2026-05-18 02:30:00+00:00,2026-05-18 02:29:04+00:00,108.0
2026-05-18 02:33:33+00:00,mdmayaop2-hue,https://github.com/mdmayaop2-hue,47,2026-05-18 02:33:00+00:00,2026-05-18 02:30:52+00:00,161.0
2026-05-18 02:51:55+00:00,safuyankabir-cloud,https://github.com/safuyankabir-cloud,48,2026-05-18 02:51:00+00:00,2026-05-18 02:33:33+00:00,1102.0
2026-05-18 02:55:37+00:00,roninbms,https://github.com/roninbms,49,2026-05-18 02:55:00+00:00,2026-05-18 02:51:55+00:00,222.0
2026-05-18 03:22:46+00:00,Lion-fahad,https://github.com/Lion-fahad,50,2026-05-18 03:22:00+00:00,2026-05-18 02:55:37+00:00,1629.0
2026-05-18 03:22:53+00:00,hossainzahid010-create,https://github.com/hossainzahid010-create,51,2026-05-18 03:22:00+00:00,2026-05-18 03:22:46+00:00,7.0
2026-05-18 03:40:06+00:00,fedorn814,https://github.com/fedorn814,52,2026-05-18 03:40:00+00:00,2026-05-18 03:22:53+00:00,1033.0
2026-05-18 03:45:00+00:00,kazimuhinuddinkamrul-art,https://github.com/kazimuhinuddinkamrul-art,53,2026-05-18 03:45:00+00:00,2026-05-18 03:40:06+00:00,294.0
2026-05-18 03:45:36+00:00,emin71182-droid,https://github.com/emin71182-droid,54,2026-05-18 03:45:00+00:00,2026-05-18 03:45:00+00:00,36.0
2026-05-18 03:57:55+00:00,marinad0122333-jpg,https://github.com/marinad0122333-jpg,55,2026-05-18 03:57:00+00:00,2026-05-18 03:45:36+00:00,739.0
2026-05-18 04:00:52+00:00,andryklim40,https://github.com/andryklim40,56,2026-05-18 04:00:00+00:00,2026-05-18 03:57:55+00:00,177.0
2026-05-18 04:01:44+00:00,jonwiliam243,https://github.com/jonwiliam243,57,2026-05-18 04:01:00+00:00,2026-05-18 04:00:52+00:00,52.0
2026-05-18 04:04:26+00:00,nusratsanta82-debug,https://github.com/nusratsanta82-debug,58,2026-05-18 04:04:00+00:00,2026-05-18 04:01:44+00:00,162.0
2026-05-18 04:04:35+00:00,talhaalish2-wq,https://github.com/talhaalish2-wq,59,2026-05-18 04:04:00+00:00,2026-05-18 04:04:26+00:00,9.0
2026-05-18 04:07:41+00:00,3xamen,https://github.com/3xamen,60,2026-05-18 04:07:00+00:00,2026-05-18 04:04:35+00:00,186.0
2026-05-18 04:07:49+00:00,lorsaa,https://github.com/lorsaa,61,2026-05-18 04:07:00+00:00,2026-05-18 04:07:41+00:00,8.0
2026-05-18 04:09:01+00:00,itsokay-ui,https://github.com/itsokay-ui,62,2026-05-18 04:09:00+00:00,2026-05-18 04:07:49+00:00,72.0
2026-05-18 04:13:43+00:00,mahovicoleg1-crypto,https://github.com/mahovicoleg1-crypto,63,2026-05-18 04:13:00+00:00,2026-05-18 04:09:01+00:00,282.0
2026-05-18 04:24:18+00:00,hussienroro9988776655-cyber,https://github.com/hussienroro9988776655-cyber,64,2026-05-18 04:24:00+00:00,2026-05-18 04:13:43+00:00,635.0
2026-05-18 04:36:21+00:00,olegbobrik1111,https://github.com/olegbobrik1111,65,2026-05-18 04:36:00+00:00,2026-05-18 04:24:18+00:00,723.0
2026-05-18 04:51:37+00:00,adam672673-blip,https://github.com/adam672673-blip,66,2026-05-18 04:51:00+00:00,2026-05-18 04:36:21+00:00,916.0
2026-05-18 04:59:03+00:00,rotonrana5100-sudo,https://github.com/rotonrana5100-sudo,67,2026-05-18 04:59:00+00:00,2026-05-18 04:51:37+00:00,446.0
2026-05-18 05:10:56+00:00,azu,https://github.com/azu,68,2026-05-18 05:10:00+00:00,2026-05-18 04:59:03+00:00,713.0
2026-05-18 05:18:26+00:00,hasibul25121989-bot,https://github.com/hasibul25121989-bot,69,2026-05-18 05:18:00+00:00,2026-05-18 05:10:56+00:00,450.0
2026-05-18 05:27:05+00:00,kui,https://github.com/kui,70,2026-05-18 05:27:00+00:00,2026-05-18 05:18:26+00:00,519.0
2026-05-18 05:27:23+00:00,sustovo95-ai,https://github.com/sustovo95-ai,71,2026-05-18 05:27:00+00:00,2026-05-18 05:27:05+00:00,18.0
2026-05-18 05:27:36+00:00,abdurrahimn7-rgb,https://github.com/abdurrahimn7-rgb,72,2026-05-18 05:27:00+00:00,2026-05-18 05:27:23+00:00,13.0
2026-05-18 05:31:53+00:00,gohatol1963-dotcom,https://github.com/gohatol1963-dotcom,73,2026-05-18 05:31:00+00:00,2026-05-18 05:27:36+00:00,257.0
2026-05-18 05:38:57+00:00,sumaiya8632,https://github.com/sumaiya8632,74,2026-05-18 05:38:00+00:00,2026-05-18 05:31:53+00:00,424.0
2026-05-18 05:43:43+00:00,Resviahmad1,https://github.com/Resviahmad1,75,2026-05-18 05:43:00+00:00,2026-05-18 05:38:57+00:00,286.0
2026-05-18 05:52:27+00:00,biliakvitalii9,https://github.com/biliakvitalii9,76,2026-05-18 05:52:00+00:00,2026-05-18 05:43:43+00:00,524.0
2026-05-18 06:00:10+00:00,riccreativestudio-beep,https://github.com/riccreativestudio-beep,77,2026-05-18 06:00:00+00:00,2026-05-18 05:52:27+00:00,463.0
2026-05-18 06:08:56+00:00,sfedik249-crypto,https://github.com/sfedik249-crypto,78,2026-05-18 06:08:00+00:00,2026-05-18 06:00:10+00:00,526.0
2026-05-18 06:14:00+00:00,nishad5341,https://github.com/nishad5341,79,2026-05-18 06:14:00+00:00,2026-05-18 06:08:56+00:00,304.0
2026-05-18 06:14:48+00:00,vikk764,https://github.com/vikk764,80,2026-05-18 06:14:00+00:00,2026-05-18 06:14:00+00:00,48.0
2026-05-18 06:15:38+00:00,aleksmadenisov-eng,https://github.com/aleksmadenisov-eng,81,2026-05-18 06:15:00+00:00,2026-05-18 06:14:48+00:00,50.0
2026-05-18 06:17:00+00:00,sasaplus1,https://github.com/sasaplus1,82,2026-05-18 06:17:00+00:00,2026-05-18 06:15:38+00:00,82.0
2026-05-18 06:18:41+00:00,thynt2,https://github.com/thynt2,83,2026-05-18 06:18:00+00:00,2026-05-18 06:17:00+00:00,101.0
2026-05-18 06:35:04+00:00,osurko153,https://github.com/osurko153,84,2026-05-18 06:35:00+00:00,2026-05-18 06:18:41+00:00,983.0
2026-05-18 06:37:01+00:00,hisaichi5518,https://github.com/hisaichi5518,85,2026-05-18 06:37:00+00:00,2026-05-18 06:35:04+00:00,117.0
2026-05-18 06:39:29+00:00,536991,https://github.com/536991,86,2026-05-18 06:39:00+00:00,2026-05-18 06:37:01+00:00,148.0
2026-05-18 06:39:40+00:00,masum138kk-sketch,https://github.com/masum138kk-sketch,87,2026-05-18 06:39:00+00:00,2026-05-18 06:39:29+00:00,11.0
2026-05-18 06:46:06+00:00,AYMAN2448,https://github.com/AYMAN2448,88,2026-05-18 06:46:00+00:00,2026-05-18 06:39:40+00:00,386.0
2026-05-18 06:46:10+00:00,maryaatt89-code,https://github.com/maryaatt89-code,89,2026-05-18 06:46:00+00:00,2026-05-18 06:46:06+00:00,4.0
2026-05-18 06:54:12+00:00,9968896,https://github.com/9968896,90,2026-05-18 06:54:00+00:00,2026-05-18 06:46:10+00:00,482.0
2026-05-18 06:56:43+00:00,Barhatt,https://github.com/Barhatt,91,2026-05-18 06:56:00+00:00,2026-05-18 06:54:12+00:00,151.0
2026-05-18 07:00:11+00:00,Vadim8085,https://github.com/Vadim8085,92,2026-05-18 07:00:00+00:00,2026-05-18 06:56:43+00:00,208.0
2026-05-18 07:02:01+00:00,joaopalmeiro,https://github.com/joaopalmeiro,93,2026-05-18 07:02:00+00:00,2026-05-18 07:00:11+00:00,110.0
2026-05-18 07:12:30+00:00,sosiskadydy-beep,https://github.com/sosiskadydy-beep,94,2026-05-18 07:12:00+00:00,2026-05-18 07:02:01+00:00,629.0
2026-05-18 07:15:11+00:00,Tom12349,https://github.com/Tom12349,95,2026-05-18 07:15:00+00:00,2026-05-18 07:12:30+00:00,161.0
